category,empath_day_2020-3-1.csv,empath_day_2020-3-2.csv,empath_day_2020-3-3.csv,empath_day_2020-3-4.csv,empath_day_2020-3-5.csv,empath_day_2020-3-6.csv,empath_day_2020-3-7.csv,empath_day_2020-3-8.csv,empath_day_2020-3-9.csv,empath_day_2020-3-10.csv,empath_day_2020-3-11.csv,empath_day_2020-3-12.csv,empath_day_2020-3-13.csv,empath_day_2020-3-14.csv,empath_day_2020-3-15.csv,empath_day_2020-3-16.csv,empath_day_2020-3-17.csv,empath_day_2020-3-18.csv,empath_day_2020-3-19.csv,empath_day_2020-3-20.csv,empath_day_2020-3-21.csv,empath_day_2020-3-22.csv,empath_day_2020-3-23.csv,empath_day_2020-3-24.csv,empath_day_2020-3-25.csv,empath_day_2020-3-26.csv,empath_day_2020-3-27.csv,empath_day_2020-3-28.csv,empath_day_2020-3-29.csv,empath_day_2020-3-30.csv,empath_day_2020-3-31.csv,empath_day_2020-4-1.csv,empath_day_2020-4-2.csv,empath_day_2020-4-3.csv,empath_day_2020-4-4.csv,empath_day_2020-4-5.csv,empath_day_2020-4-6.csv,empath_day_2020-4-7.csv,empath_day_2020-4-8.csv,empath_day_2020-4-9.csv,empath_day_2020-4-10.csv,empath_day_2020-4-11.csv,empath_day_2020-4-12.csv,empath_day_2020-4-13.csv,empath_day_2020-4-14.csv,empath_day_2020-4-15.csv,empath_day_2020-4-16.csv,empath_day_2020-4-17.csv,empath_day_2020-4-18.csv,empath_day_2020-4-19.csv,empath_day_2020-4-20.csv,empath_day_2020-4-21.csv,empath_day_2020-4-22.csv,empath_day_2020-4-23.csv,empath_day_2020-4-24.csv,empath_day_2020-4-25.csv,empath_day_2020-4-26.csv,empath_day_2020-4-27.csv,empath_day_2020-4-28.csv,empath_day_2020-4-29.csv,empath_day_2020-4-30.csv,empath_day_2020-5-1.csv,empath_day_2020-5-2.csv,empath_day_2020-5-3.csv,empath_day_2020-5-4.csv,empath_day_2020-5-5.csv,empath_day_2020-5-6.csv,empath_day_2020-5-7.csv,empath_day_2020-5-8.csv,empath_day_2020-5-9.csv,empath_day_2020-5-10.csv,empath_day_2020-5-11.csv,empath_day_2020-5-12.csv,empath_day_2020-5-13.csv,empath_day_2020-5-14.csv,empath_day_2020-5-15.csv,empath_day_2020-5-16.csv,empath_day_2020-5-17.csv,empath_day_2020-5-18.csv,empath_day_2020-5-19.csv,empath_day_2020-5-20.csv,empath_day_2020-5-21.csv,empath_day_2020-5-22.csv,empath_day_2020-5-23.csv,empath_day_2020-5-24.csv,empath_day_2020-5-25.csv,empath_day_2020-5-26.csv,empath_day_2020-5-27.csv,empath_day_2020-5-28.csv,empath_day_2020-5-29.csv,empath_day_2020-5-30.csv,empath_day_2020-5-31.csv,empath_day_2020-6-1.csv,empath_day_2020-6-2.csv,empath_day_2020-6-3.csv,empath_day_2020-6-4.csv,empath_day_2020-6-5.csv,empath_day_2020-6-6.csv,empath_day_2020-6-7.csv,empath_day_2020-6-8.csv,empath_day_2020-6-9.csv,empath_day_2020-6-10.csv,empath_day_2020-6-11.csv,empath_day_2020-6-12.csv,empath_day_2020-6-13.csv,empath_day_2020-6-14.csv,empath_day_2020-6-15.csv,empath_day_2020-6-16.csv,empath_day_2020-6-17.csv,empath_day_2020-6-18.csv,empath_day_2020-6-19.csv,empath_day_2020-6-20.csv,empath_day_2020-6-21.csv,empath_day_2020-6-22.csv,empath_day_2020-6-23.csv,empath_day_2020-6-24.csv,empath_day_2020-6-25.csv,empath_day_2020-6-26.csv,empath_day_2020-6-27.csv,empath_day_2020-6-28.csv
sadness,0.029835172745208173,0.033428103411356935,0.03416024559109215,0.03624594596440817,0.04166239972015677,0.04290948957249221,0.04268649453678646,0.04238562247792836,0.042571683023035475,0.04486278266962117,0.04709317129022596,0.04517148716101925,0.0467221799423147,0.043041198347222684,0.037858649043921014,0.03853821952787147,0.040546156180944634,0.04084402652525461,0.04357821325378834,0.042858114087244006,0.039855061305897735,0.03766837857343433,0.03591126840671318,0.035770167758095106,0.03581954265328991,0.0372525089461342,0.03832854128172519,0.03919794984892421,0.03923240185366969,0.039692461260985704,0.039909928084054,0.0401247028431138,0.04137750380693351,0.04369857879971979,0.04511388742537954,0.04746027791509251,0.051581677335405515,0.052379495638720956,0.05374982200904732,0.055347825881660394,0.056892845365804794,0.054234390493757195,0.05370335476294628,0.05133370260822876,0.05094305478766914,0.04868797437881145,0.04914562950388768,0.04900309853829038,0.04939239972898636,0.049101283516653445,0.04881922170939899,0.048821133303290826,0.04849632764416088,0.04858625127624666,0.04993430409783502,0.050787599182764334,0.051000091819892374,0.05163076615149527,0.052059114449426604,0.05108212291561155,0.05150048655520108,0.05171136631532189,0.051460658576841456,0.051043953039990014,0.050670318107615755,0.049798450669490874,0.05032305232437069,0.051181890212868536,0.05122869239293118,0.05101871991756539,0.05054563314267581,0.049584398624582346,0.04889469439217633,0.04817023327839517,0.04843684672993546,0.04953729556408723,0.050131015161647974,0.05069197549448949,0.05170117552874348,0.05256888691648126,0.05069186171380096,0.050712410870293045,0.05187268859937286,0.052191169778439996,0.05284401677078959,0.05689733530054993,0.057605306454282995,0.0566802283852096,0.05703435167232744,0.05674449443010626,0.05301899368430227,0.05099351934194592,0.05009245111322931,0.04973951766158485,0.049312229637222614,0.050884615878160254,0.0525829310802691,0.053095149122245444,0.05190216176511035,0.05093211727027712,0.050175973504176144,0.049397138649469624,0.049325755836770305,0.05026488295460822,0.05048346147049041,0.05007807277689423,0.04966422841470028,0.04917315799184342,0.049190823779776634,0.04957858150029104,0.0503100431377173,0.051523150210285015,0.05244043648307051,0.05278171049299722,0.052797225073388326,0.05295328982303685,0.05273437581930315,0.05318789764552695,0.05360981524897162,0.053720798718797744
nervousness,0.01158603060797581,0.015874889286036274,0.015203442831045947,0.01551183432593314,0.018518136489108068,0.02048482649122454,0.020354746053729517,0.026644852534231597,0.02950113333479481,0.030220148649414785,0.03166463930096325,0.03155036830165531,0.027952498590469103,0.025498510860407754,0.024011265197664496,0.020663836220228986,0.019556849892973106,0.019565762548944585,0.01881420838394577,0.017531404319422277,0.01748858249963307,0.01694020026146676,0.01566690833600092,0.01679476014218456,0.016860282801845587,0.016678574958591402,0.019118765039430375,0.020688399966157248,0.020356382662360027,0.022361958397154436,0.02080323846046283,0.019309354635073616,0.0185831966174905,0.01955878938586557,0.018173215869936636,0.01959140679952822,0.020126088947042736,0.02012021931606192,0.020181269377111982,0.02317750696034955,0.024977744347143692,0.02502407341771899,0.025464736508613854,0.025587864728351867,0.024944345396007248,0.02438769299121553,0.024362770270580387,0.024029519120457504,0.02391390245292159,0.024030951636177286,0.024061042446306885,0.024195507203192593,0.02425257337351159,0.02437626554433369,0.025447001984946982,0.025821473846960045,0.026067467545073456,0.02653423111533343,0.02694241886815344,0.026049321439376338,0.026636655469275048,0.02682985057073201,0.02681149993001266,0.026752151232920504,0.02671859740940575,0.025883485359519984,0.025810247730448963,0.026228941788729622,0.026163909891897714,0.02616191511554087,0.02628231402101931,0.026376356387802793,0.02503747336335853,0.024702124781628563,0.02493869742280244,0.025590598928772954,0.025627834890812592,0.026621410414523206,0.027059563632148537,0.027246894786992097,0.025649533456949557,0.024596938876501995,0.025423051980455295,0.025627564305971524,0.025697944021165858,0.027169887830440262,0.02830320896837597,0.02762280351986968,0.02795877961253971,0.028139165387575646,0.02686395092009342,0.025436676351695893,0.024955166548626777,0.02447812700275174,0.023901770263883085,0.025052537341394787,0.026621090850348264,0.027076811610831364,0.02680095968767844,0.026705008190976577,0.026362521813280717,0.025889459307678546,0.025921470099522052,0.026303762103025992,0.026429929532890216,0.026042988664155265,0.025688318283425188,0.025356919696531748,0.02521194440321379,0.025282243281805256,0.025588879934707248,0.0265028582966072,0.02773336926161704,0.02838467861157106,0.028735859993983905,0.029160900521828674,0.0288810280110227,0.028236614344898457,0.02793789212345224,0.027686839054492388
fear,0.012562206456156574,0.015973872151760896,0.016068709221674783,0.01719677284770952,0.01932588202842831,0.0220707821472763,0.02337955063064458,0.029516870518757787,0.03523446078326549,0.04055598655813651,0.044840233801977054,0.04418196846793557,0.04104012054081156,0.035825396614431196,0.03191632584969234,0.028553999037026885,0.02982191289203362,0.02981393841037493,0.028408450431157035,0.028609882474346676,0.027209194562531996,0.025401107807229602,0.025311209147536887,0.02760473027608784,0.026377810710586917,0.026163830431851297,0.028224405044042687,0.028314635554800644,0.027016295085642135,0.028715981705921517,0.027676938933811485,0.02575623115831107,0.024926336281073214,0.025863621735238762,0.024929443704529,0.02507699792374446,0.02517376602283499,0.024238387649866598,0.025931289342768293,0.027022232780578213,0.030262996103776543,0.03091057629103692,0.03296345208698023,0.03251709172482107,0.032795654545786215,0.031431453135147405,0.03144457989660169,0.031063302802067063,0.030804144910609885,0.030761366653976736,0.030808105965264062,0.031033496294907273,0.031367874364439344,0.03165913747667268,0.033078210544572884,0.033853247046908994,0.03415899296628554,0.03454100764618123,0.035076931812173515,0.03413842866128246,0.03470056863969226,0.03488700932062965,0.03497817967052888,0.034727209336532255,0.03441602013673059,0.03331250568125127,0.03319755873944703,0.03361167579683764,0.03365520612672676,0.03358015689952165,0.03344618533377727,0.03349959068622607,0.03241147784092346,0.03179593658590918,0.03233844196737931,0.03330772038909108,0.03324010506073514,0.03400838961237497,0.034576061405554734,0.034578722395744325,0.03326025526241302,0.03276901446615678,0.03352904275193803,0.03370545601920576,0.03365017863759666,0.03484557898102103,0.03542970731074044,0.03477883102843232,0.035222913365611494,0.035714710988486734,0.03425287223857216,0.03342048173286111,0.032747587138202305,0.03214286146649334,0.031345756551627676,0.03291852923649126,0.034313297352741946,0.03478132054083335,0.034497446054151545,0.034409067889616916,0.033749865243745264,0.032797085833877665,0.03297759050441778,0.03360769296871365,0.03382265549845791,0.03358930473689086,0.03360537241666394,0.03334359754741541,0.03326451364080563,0.03351768391448255,0.03406348843889933,0.034850419285110665,0.03594150690751135,0.03632549075856055,0.03646921163258364,0.036425399852860196,0.03589758948942392,0.035388196181712905,0.035299677404304244,0.03487440718114154
suffering,0.04320701781421231,0.04388999832822797,0.049667472627382026,0.05537271528279511,0.059315825485486307,0.056186704472185094,0.06599848604323821,0.06508646761482462,0.07038165015530536,0.06892330835898573,0.06940367364028799,0.06044547107482357,0.06203771979807194,0.057436492804206915,0.05464839598334115,0.053458861139596525,0.0531723613742825,0.052290477520262425,0.050528001312670094,0.0485120498520839,0.04714451431688022,0.045541814167632616,0.04346270334710303,0.04461534310507093,0.04843615260492499,0.05025112631341369,0.052639426510049034,0.05503711435321086,0.05617152996108037,0.05581307041103427,0.056271059279100755,0.05782599582787752,0.05960351868497726,0.06033608388203605,0.059615833446334095,0.06033578667443064,0.058428379921246124,0.05770084668634198,0.05757792156341687,0.061947992246476555,0.06518165564500995,0.06736724261096101,0.06929651245132805,0.07071227441218197,0.06981564227969315,0.0682090694316554,0.0683251544687004,0.06847795188169949,0.06820616571535643,0.0690605588959811,0.0694545952729218,0.06974363358299632,0.06930294374350886,0.06965726234332213,0.07043129849345432,0.07053314450435577,0.07050353919702497,0.07057613071858648,0.07067085502382547,0.06950515305359084,0.07041629788995785,0.07116509240004225,0.07165457320542216,0.0716416630189731,0.07111921587716565,0.07016489449113097,0.06929634259835099,0.06964697518587042,0.07039822588439684,0.07066638695011405,0.07023505639694835,0.07041775131584604,0.06818110529738486,0.06663024729904894,0.06737498151287519,0.06898308143601868,0.0696077654753463,0.07186810884756088,0.07279949934614804,0.07337133100328161,0.06998203990462437,0.0673157166381305,0.06866385590368379,0.06864062512029101,0.06803485813296893,0.07095723521344763,0.07412358844184035,0.07307134022196088,0.07456642923980183,0.07744776886070585,0.07714456265377345,0.07569273886270002,0.07577173776336497,0.07551861935323378,0.07353350104364376,0.07512443975024835,0.07733631479020167,0.07706959996378984,0.07548444296358453,0.07464809919028785,0.07304744190833619,0.07176081379178165,0.07245247995375227,0.07402705084567968,0.07418312848269157,0.07392529259036162,0.07311519368655992,0.07197507793298887,0.07094008701257282,0.07058323460457763,0.07088623510661363,0.07267081376381412,0.07451174695267063,0.0756474868536027,0.07655736683192157,0.07760885755185327,0.07755982724006663,0.07764796757364303,0.0782047218484376,0.07845105945979475
horror,0.013990006414116737,0.0145888281918082,0.013469750766824318,0.012617616373057073,0.013682170963416467,0.018878921366359987,0.021719453368802318,0.024636502001949955,0.026059613738850292,0.027465146500762788,0.026424637958578058,0.027029791419701778,0.023489881311765687,0.021035893581704337,0.020180825084982534,0.017644755133916192,0.015447850550529522,0.014870873348165323,0.01499912770023577,0.014077596490501791,0.0123232832281698,0.01135728155769207,0.011458621864982033,0.010888181179690504,0.012638971488547552,0.014168755087836155,0.017029526335378214,0.019088536462813145,0.019024355712037283,0.017999096026343114,0.01730899715371231,0.017102671655478477,0.014704648693406923,0.015134984106280171,0.015536614581463744,0.015060543421353496,0.014475787622563557,0.014986445517894492,0.015727296258745232,0.016443021271732652,0.01796896309570872,0.01755170380680466,0.018048149332091222,0.01767366659554334,0.017627193015077838,0.016825818271245147,0.016764548183983995,0.01685376755150669,0.016797437835877952,0.016837338393361923,0.016854559918709103,0.016883015494972536,0.01671423547218037,0.016787683332494984,0.017042078631116397,0.017070812758164855,0.017308213157539144,0.01755530722023496,0.01787053564223395,0.017720618109527336,0.01838746618880325,0.0183749913901034,0.01821332791966115,0.01777769946916581,0.017575727840767913,0.01694253010275063,0.016826369454155297,0.01710925221196575,0.01749890808758179,0.017666200712103983,0.01755023961774063,0.017773523006927736,0.017782044361343605,0.017555426123496264,0.017850213033110685,0.01849237232504404,0.01854662088468188,0.01851013231543997,0.01864876858347737,0.019002830012190067,0.018401653348358755,0.018796645323644466,0.019590381345463693,0.019996509809943757,0.01959118593337008,0.0201210917934935,0.019668635186371825,0.019092317303114083,0.019257975632335583,0.019966580539251905,0.020338074776979104,0.02097107132431044,0.021164014835786588,0.020911902995797076,0.020328585526446594,0.0203621587896795,0.020290960768096694,0.01999399168548093,0.01969087586144269,0.019632934395708325,0.019155220531879243,0.01846197146390316,0.018456906645857016,0.01873388867307066,0.018684271389704916,0.0189491076463304,0.019343268961716363,0.01942548780397383,0.01954036247977252,0.02010500877848551,0.02040560723048529,0.020875347297022825,0.02171724963782381,0.02209278742675931,0.021782344086427836,0.02126605709623394,0.02075097502121773,0.020237126503293488,0.020077355599038033,0.020009718165987234
disappointment,0.01311460451799839,0.014173062470998973,0.01679056560062228,0.02136774463000063,0.02456140840107881,0.024017638152149256,0.02464414801437018,0.024340925392552254,0.024532014601040642,0.021635642175481064,0.02153379794622971,0.019454387648964164,0.018368465271089422,0.01652797447354341,0.017960474897167282,0.017257411673046542,0.01829002997611453,0.017449894879013488,0.015471346848983996,0.013465997074881468,0.014835604633623335,0.014329668960708353,0.014694167162735158,0.015344691999945054,0.016072894070585313,0.015317298135509031,0.016629565996553384,0.01793195569523674,0.01900858084353317,0.020746401458498313,0.021281656475735208,0.022421216460035934,0.02317372034673772,0.020867570281565537,0.020541929531249604,0.020269093427794607,0.019953905905042583,0.019315470658360052,0.021726948069837465,0.02178196751161446,0.022928795037643,0.021536516595645275,0.020726992327732972,0.019252684081875866,0.018064759200449754,0.01698016602770283,0.016945909953142546,0.016884158830978123,0.01693289479956779,0.017030702881492058,0.016974862121027737,0.01687062280053607,0.0168177019329578,0.016874013187531733,0.01677240480177935,0.016777710363885538,0.016969236717654063,0.01736616998143741,0.01759287496179618,0.017736356672134683,0.018022534690273664,0.017943916544483338,0.017560161917196913,0.017497682913070658,0.017483201522238683,0.017295287385760413,0.01765210132938027,0.018220102754504874,0.018210797750506644,0.018142300196373324,0.017988665582073248,0.01771129797271711,0.019013357487987704,0.01883851943767731,0.018931374139059046,0.019103497984255216,0.019314878361388264,0.018100772370437775,0.01844886335319719,0.018654581638542743,0.019659824983642216,0.020129715520035778,0.02008405686445855,0.020001312415992886,0.02010039512429632,0.019364518740799787,0.01886355982584701,0.018751285483336134,0.018761595792405845,0.018642955584645945,0.018748418853305047,0.019892191390289943,0.02018669457618684,0.020364300694180243,0.020348002252173904,0.020145399341851222,0.01910101438669879,0.01877633412057825,0.01857555682380814,0.018408844867176675,0.018334151440111916,0.01804237299055313,0.018075813261905806,0.018163099186170855,0.01838637184532857,0.01850575344215013,0.01882521819187665,0.018935286685980157,0.019097414361335767,0.019488318246331227,0.019504499451925842,0.019371028990564403,0.019155033473215878,0.018941709796363476,0.01841781307058212,0.018253308412429524,0.018014457967832014,0.018224315798841074,0.018406589472803492,0.018297209764082625
health,0.0521596783884819,0.0584262673701612,0.05213287941067559,0.05189752800668272,0.05458872201111127,0.04996179073129752,0.054663269400760474,0.060495016104095925,0.06333621091451531,0.0691086445985548,0.07889417762578965,0.07791080325146361,0.09314980459656386,0.09621728925914053,0.09787007409731621,0.09218826893808127,0.0909898465155124,0.08137402889659881,0.07919043728459682,0.07462192592448198,0.07127215453774569,0.06978994786405024,0.06889259578820846,0.06572895399317939,0.06858462403224458,0.06644517203223053,0.06571052051376866,0.060895720203601275,0.06248412432561695,0.05555899089068376,0.0578240106667677,0.05707556969166849,0.05652834403518295,0.05291079033031842,0.05736444898777822,0.0598121786016316,0.0606030658115001,0.06408782057380262,0.06892810041408247,0.07234607500596257,0.0747415137108496,0.08217530782806805,0.09168770452696265,0.10182888375743945,0.10838608834262642,0.11298454072469094,0.11566304472426636,0.11403107516662596,0.11192142454810924,0.11373170104901309,0.11497172660223504,0.11413596848253163,0.11532042578721866,0.1139937748434877,0.1094820130425917,0.10840605086010133,0.1074587362209288,0.10785688215561216,0.10881027492529305,0.11107012513343278,0.11097097279532853,0.11018813682456706,0.1087396624259378,0.11007738068899496,0.1107291422292932,0.11179516560655348,0.11429500376924491,0.11621913171396955,0.11607770075425597,0.11667238835838467,0.11858018232484586,0.11701888445041206,0.10415206584473204,0.1059703803600073,0.10733116295940953,0.10672154998699915,0.10855476241134054,0.1224511420670164,0.12217760505597662,0.11784965944123807,0.10332192643144102,0.08813274277919049,0.08617551091765888,0.0862451855263959,0.08976682946967515,0.10434852770001302,0.12096586941010742,0.12187929035852196,0.1206451249909389,0.11931849848398518,0.10215929825930095,0.08436335282874949,0.07841942708691799,0.07723763659588515,0.07649602146973221,0.090106587907494,0.10330256479825513,0.10835098641975427,0.10854415412925153,0.1080996567538112,0.11165541522722691,0.11277355202108058,0.11351343401398309,0.11380651741184139,0.11171250820660582,0.10350230566411882,0.09648923676528742,0.08878269734581326,0.08159034714154281,0.07491509537250063,0.07315157609029557,0.08070555040804445,0.09009818496534117,0.10070337387479893,0.11344805563051956,0.12532163767611207,0.12909245455715312,0.12984632266784435,0.12935264831481502,0.12981144556469454
confusion,0.006718804176137459,0.006718804176137458,0.005281074196242916,0.0031304492976874875,0.005072196870503022,0.006804447004817528,0.008962720386112493,0.0080436502688194,0.009064468935217873,0.010051591655289368,0.008758169943797096,0.007942178441696764,0.010180731420054868,0.010180731420054866,0.008186440566420173,0.00753437377827885,0.008371928411345798,0.007888299553103939,0.007379366678327566,0.007753687762635438,0.008900207453765798,0.007976652348539393,0.007098914525721478,0.006960674025386205,0.007549756894471312,0.00727298568148376,0.008462356448361626,0.008737120885634976,0.008940776687880467,0.00910938342152677,0.008977594788062739,0.007936155252063438,0.00682359115407327,0.0073496948524703325,0.007081665877257851,0.007659076161508526,0.007786257091741798,0.008931437146434719,0.008810162025159596,0.009374839386115472,0.009999253371341126,0.010281353122082618,0.010214878101953147,0.01004801127432851,0.009299251532556885,0.008396293642362421,0.008133807238264954,0.008006737433127173,0.007929319161670303,0.00789488509145033,0.007851707372680374,0.007891251110551997,0.008000383384832567,0.008073349575043713,0.008004112076866797,0.007908130281331388,0.008037050560689643,0.007985839490133102,0.007904097244266684,0.007885043474630905,0.00800538572491628,0.00784835143717071,0.0077633957990659325,0.00793893628623902,0.00811770931393293,0.008160629247251827,0.008286900712577512,0.008329971544900606,0.008245321159649932,0.008258880318820733,0.008276481373433887,0.008280748548406155,0.00846942575848646,0.008457853224913998,0.008406887603656685,0.008317421728838707,0.008175929793049033,0.007893869554580843,0.008025359483329397,0.007970887056489729,0.00806349981784203,0.008811347572737337,0.00891330540832548,0.008719044886515969,0.008701015782836045,0.008699463165933254,0.008108421988063432,0.008130674918021486,0.008086136298430857,0.008109689113946682,0.008214582152636759,0.008090255715126903,0.007979688932558748,0.008094796613645485,0.008132834789423506,0.007980329198352365,0.007987228771134152,0.008056985179350098,0.00802169393742247,0.008021483069028612,0.008070347904552692,0.008096340352718306,0.008090127360172734,0.00807075017024113,0.008077911295432803,0.007992270171870177,0.007877408683170717,0.007902597254761678,0.007776340903442168,0.007661372863637949,0.007500928210125609,0.007664360154296314,0.007666616082306798,0.007942589880027077,0.008185565776774399,0.008482372410265122,0.00835069039580874,0.008193458686601032,0.007937125345328484,0.007713701723236707
shame,0.01136021855308611,0.014771884248690434,0.018155670903217958,0.02027383353915368,0.02240294271987247,0.01934871221989689,0.019218631782401865,0.019989616433225738,0.02079923123761073,0.024865526886958745,0.02930254047467633,0.027845987596173762,0.02634559937618973,0.02542535397741672,0.02152540741919777,0.019076432504860324,0.019311728056799073,0.018098199583208678,0.018105143290167908,0.018243780728800455,0.018352907301811657,0.018809550189273487,0.02085433606701131,0.020200951081518616,0.021469171659981225,0.02226545892675149,0.021254971708049283,0.020076648961658117,0.021159108723661446,0.020754071222963456,0.020498282882363054,0.02205185664713563,0.02385792086244725,0.022852975736431108,0.021758145515647916,0.023411866387609837,0.02395730054613441,0.023534536612157222,0.02835254143016204,0.030522621558619453,0.032020922454510714,0.03185981685229778,0.03183157382942231,0.028905236198896782,0.028299551274678703,0.027025069401353213,0.027517914364000605,0.026889925074201383,0.026664355974513623,0.026579666290175302,0.026565554778588865,0.02616637778065157,0.0264240216079261,0.026862954917424638,0.028121744217010886,0.028677904186164352,0.029029112443427017,0.029493339757183976,0.0295861136459066,0.0287573649629847,0.029269782395883334,0.029801994010713463,0.029793475204809634,0.030076632276833673,0.029761605149874668,0.028987191602489346,0.02853529195011833,0.02901244314244491,0.029241504027337117,0.029361987361811406,0.02923700098866801,0.02900955057141544,0.027859671507134406,0.027222738191891412,0.02751658865447796,0.02843491114858085,0.02890035747750839,0.029991641810015228,0.030373874337651742,0.030726645961910957,0.02970611517584877,0.028969911701801524,0.02970588258729927,0.030194165701070592,0.03063878885327511,0.032101434923858654,0.033560920787557014,0.03310018597780472,0.033370505205369556,0.03311415140254017,0.0310832765393071,0.029767405924194155,0.029144373818234096,0.029026077351608053,0.02881672709537153,0.030453437938093554,0.03164528822787208,0.032299774027593625,0.031375921286726255,0.030797706728944843,0.02992095273656335,0.029140202572637122,0.02885575842755968,0.029504284730571803,0.029913005740099273,0.029764647689080718,0.02935733905486737,0.028830817464112524,0.02891337914577058,0.028749148872000738,0.02918758147870164,0.029969746572688298,0.0305637363358435,0.030499730139282373,0.03098544880925272,0.03102363548721447,0.030806950830926678,0.031094234590923753,0.03136006387893838,0.030849130660837137
anger,0.02070881059025419,0.022783647128093252,0.018694272673406405,0.01487184124993619,0.018849017199518883,0.02159391731836688,0.022239010100229946,0.022088574070800896,0.024125182740216564,0.024291734310269784,0.0241135069090799,0.02588551212370015,0.027552124111495827,0.025404884847692148,0.024433808582360224,0.02299158353336926,0.022527088169179296,0.021916336691554753,0.022455903567621838,0.021023860377982134,0.01947605879495615,0.019094039707694226,0.01882924729187206,0.018359229590732135,0.019537395328902345,0.021152069465000818,0.02152076074750027,0.022597260868904172,0.021799585823546994,0.02397376829198771,0.02292693659355001,0.023451880991962642,0.0231263997338925,0.024781325457502744,0.022947866851253412,0.023793101963589504,0.024043009419494738,0.023107631046526342,0.024499407438302735,0.02552683057637871,0.027892243645659877,0.027890978094511784,0.02926001285696053,0.028716886424181978,0.029262777732562206,0.02840585506184543,0.0280744446720138,0.02877043020722944,0.028553510647272528,0.02828111754909657,0.028072952324229346,0.028334921880185358,0.02754449274237966,0.027701879576155344,0.02835386537346416,0.029225157910439392,0.02972706275342374,0.03028487628689394,0.030911927843309667,0.03096164636830734,0.031234104988458973,0.03162167335537265,0.03138587313129923,0.030806764985519673,0.0304071299219532,0.029725514679528824,0.02926298102383624,0.02965897145054253,0.030000228196163943,0.02996909515945183,0.02966178706681223,0.0295887090595517,0.02934806745857404,0.02931895213084059,0.030040194616066707,0.03093182003202425,0.03155973308603181,0.031948298537094,0.032001833909259925,0.03186629009370398,0.03082182940817084,0.03007654478942922,0.030752979196616306,0.031008969961314192,0.0310667774064968,0.03217228809764644,0.03266528023723591,0.03174336453128636,0.031957465523896604,0.03233976360113688,0.03173008778527949,0.031526235089278064,0.03192636932182915,0.031895248690134395,0.03166372873260389,0.03263027592789975,0.03349295050229742,0.033038687560711544,0.0324526493857426,0.03218135104560251,0.03126835679667778,0.030122317041675527,0.03057390867179663,0.031153561097508456,0.03108686663502412,0.03130191277290832,0.03149548039708469,0.030971276467088908,0.030680781017961352,0.031103716902972485,0.03155744071751963,0.03237569939423699,0.0327756413712009,0.0330736774154733,0.03291921308007981,0.03274016929539868,0.03269378086573168,0.03355101020979052,0.03430677482945627,0.03467661556365164
