alt,,sadness,nervousness,fear,suffering,horror,disappointment,health,confusion,shame,anger
time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,large,medium,medium,large,medium,large,small,large,large,large
time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,medium,medium,medium,medium,large,medium,-,large,large,large
time_series_anxiety_forecast_14_7_mse_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,medium,medium,small,large,medium,large,small,large,large,large
time_series_anxiety_forecast_14_7_mse_sgd_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,medium,medium,medium,medium,medium,large,-,large,large,medium
time_series_anxiety_forecast_14_7_prophet_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_14_7_var_p12_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,medium,small,-,-,small,small,small,small,small,small
time_series_anxiety_forecast_21_7_arima_p19_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,-,-,-,-,small,-,-,-,-,-
time_series_anxiety_forecast_21_7_mae_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,medium,medium,medium,large,large,medium,-,large,large,large
time_series_anxiety_forecast_21_7_mae_sgd_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,large,small,medium,-,large,large,-,large,large,medium
time_series_anxiety_forecast_21_7_mse_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,large,medium,medium,large,large,medium,-,large,large,large
time_series_anxiety_forecast_21_7_mse_sgd_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,medium,small,medium,small,large,large,-,large,large,medium
time_series_anxiety_forecast_21_7_prophet_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_21_7_var_p19_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,small,-,-,-,small,small,-,small,small,small
time_series_anxiety_forecast_7_7_arima_p5_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_7_7_mae_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,large,medium,medium,large,large,large,-,large,large,large
time_series_anxiety_forecast_7_7_mae_sgd_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,medium,medium,large,medium,large,medium,-,large,large,large
time_series_anxiety_forecast_7_7_mse_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,large,medium,medium,medium,medium,large,-,large,large,large
time_series_anxiety_forecast_7_7_mse_sgd_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,large,medium,small,medium,medium,large,-,large,large,large
time_series_anxiety_forecast_7_7_prophet_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_7_7_var_p5_errors.csv,time_series_anxiety_forecast_14_7_arima_p12_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_14_7_arima_p12_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,small,-,-
time_series_anxiety_forecast_14_7_mse_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,small,-,-,small,-
time_series_anxiety_forecast_14_7_mse_sgd_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_14_7_prophet_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_14_7_var_p12_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_21_7_arima_p19_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_21_7_mae_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,small,-,-,-,small,-,small
time_series_anxiety_forecast_21_7_mae_sgd_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,small,-,-
time_series_anxiety_forecast_21_7_mse_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,small,-,-,-,-,-,-,-,small,small
time_series_anxiety_forecast_21_7_mse_sgd_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_21_7_prophet_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_21_7_var_p19_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_7_7_arima_p5_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_7_7_mae_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,small,small,-,-,-,small,-
time_series_anxiety_forecast_7_7_mae_sgd_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,medium,-,-,-,-,small,-,-
time_series_anxiety_forecast_7_7_mse_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,small,-
time_series_anxiety_forecast_7_7_mse_sgd_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,small,small,-
time_series_anxiety_forecast_7_7_prophet_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_7_7_var_p5_errors.csv,time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_14_7_arima_p12_errors.csv,time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_14_7_mae_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,small,-,-,small,-,-,-,-,-,-
time_series_anxiety_forecast_14_7_mse_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,-,-,-,medium,-,medium,small,-,-,small
time_series_anxiety_forecast_14_7_mse_sgd_errors.csv,time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,negligible,-,-,-,-,-,small,-,-,-
time_series_anxiety_forecast_14_7_prophet_errors.csv,time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_14_7_var_p12_errors.csv,time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_21_7_arima_p19_errors.csv,time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_21_7_mae_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,small,-,-,medium,-,-,-,-,-,medium
time_series_anxiety_forecast_21_7_mae_sgd_errors.csv,time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,small,-,-,-,-,-,-,-,-,-
time_series_anxiety_forecast_21_7_mse_rmsprop_errors.csv,time_series_anxiety_forecast_14_7_mae_sgd_errors.csv,medium,-,-,medium,-,-,-,-,small,medium
