,80_2,80_3,80_4,80_week
time_series_depression_forecast_14_7_arima_p12.csv,0.375,0.625,0.75,0.666666667
time_series_depression_forecast_14_7_mae_rmsprop.csv,0.75,0.8125,0.8125,0.833333333
time_series_depression_forecast_14_7_mae_sgd.csv,0.5,0.5,0.6875,0.666666667
time_series_depression_forecast_14_7_mse_rmsprop.csv,0.625,0.8125,0.875,0.75
time_series_depression_forecast_14_7_mse_sgd.csv,0.625,0.625,0.6875,0.666666667
time_series_depression_forecast_14_7_prophet.csv,0.3875,0.5625,0.65,0.666666667
time_series_depression_forecast_14_7_var_p12.csv,0.4375,0.5625,0.6875,0.75
time_series_depression_forecast_21_7_arima_p19.csv,0.214285714,0.5,0.571428571,0.454545455
time_series_depression_forecast_21_7_mae_rmsprop.csv,0.5,0.571428571,0.857142857,0.545454545
time_series_depression_forecast_21_7_mae_sgd.csv,0.571428571,0.785714286,0.857142857,0.545454545
time_series_depression_forecast_21_7_mse_rmsprop.csv,0.285714286,0.428571429,0.571428571,0.545454545
time_series_depression_forecast_21_7_mse_sgd.csv,0.214285714,0.285714286,0.5,0.454545455
time_series_depression_forecast_21_7_prophet.csv,0.4,0.6,0.7,0.666666667
time_series_depression_forecast_21_7_var_p19.csv,0.285714286,0.571428571,0.714285714,0.545454545
time_series_depression_forecast_7_7_arima_p5.csv,0.388888889,0.5,0.555555556,0.538461538
time_series_depression_forecast_7_7_mae_rmsprop.csv,0.777777778,0.833333333,0.944444444,0.769230769
time_series_depression_forecast_7_7_mae_sgd.csv,0.277777778,0.611111111,0.777777778,0.461538462
time_series_depression_forecast_7_7_mse_rmsprop.csv,0.833333333,0.888888889,1,0.923076923
time_series_depression_forecast_7_7_mse_sgd.csv,0.444444444,0.611111111,0.722222222,0.615384615
time_series_depression_forecast_7_7_prophet.csv,0.363636364,0.545454545,0.636363636,0.5
time_series_depression_forecast_7_7_var_p5.csv,0.388888889,0.555555556,0.611111111,0.615384615
