alt,_mean_disappointment,_mean_disgust,_mean_emotional,_mean_neglect,_mean_nervousness,_mean_pain,_mean_sadness,_mean_shame,_mean_suffering,_mean_torment,_meanstd_disappointment,_meanstd_disgust,_meanstd_emotional,_meanstd_neglect,_meanstd_nervousness,_meanstd_pain,_meanstd_sadness,_meanstd_shame,_meanstd_suffering,_meanstd_torment,disappointment_arg_max,disappointment_arg_min,disappointment_max,disappointment_min,disgust_arg_max,disgust_arg_min,disgust_max,disgust_min,emotional_arg_max,emotional_arg_min,emotional_max,emotional_min,neglect_arg_max,neglect_arg_min,neglect_max,neglect_min,nervousness_arg_max,nervousness_arg_min,nervousness_max,nervousness_min,pain_arg_max,pain_arg_min,pain_max,pain_min,sadness_arg_max,sadness_arg_min,sadness_max,sadness_min,shame_arg_max,shame_arg_min,shame_max,shame_min,suffering_arg_max,suffering_arg_min,suffering_max,suffering_min,torment_arg_max,torment_arg_min,torment_max,torment_min
time_series_depression_forecast_14_7_arima_p12_errors.csv,17.78617098,14.83623565,36.6424387,18.88837778,22.89659397,11.6925868,10.17014845,16.1268609,10.72571264,21.91690815,15.22221037,17.8001017,115.237509,29.0973429,35.48924736,14.02824576,9.936111116,13.98613246,10.51060925,25.5648478,05/04/2020,08/06/2020,89.294099,0.177974,09/04/2020,03/06/2020,131.324117,0.073522,15/03/2020,20/05/2020,1076.831256,0.214471,16/03/2020,16/04/2020,227.760788,0.345018,21/03/2020,08/06/2020,228.516702,0.09833,06/04/2020,28/04/2020,80.020054,0.176661,16/03/2020,23/04/2020,55.614668,0.146567,26/03/2020,27/03/2020,55.904752,0.083628,21/03/2020,19/05/2020,45.524425,0.050145,21/03/2020,21/06/2020,125.422967,0.140649
time_series_depression_forecast_14_7_mae_rmsprop_errors.csv,9.027630368,7.001600724,7.139323098,6.829521655,7.036205916,6.354076489,6.867161183,6.894943591,4.670418389,9.68079677,8.696422639,6.272531513,8.453755188,5.123213964,6.35264853,6.123263702,6.580935293,7.418581304,5.3457946,9.486705529,20/03/2020,19/04/2020,55.19847421,0.147715029,28/03/2020,24/06/2020,33.52395388,0.014156753,23/03/2020,07/06/2020,44.06812991,0.024657512,21/03/2020,10/05/2020,27.20830576,0.060630742,11/04/2020,23/05/2020,36.30578401,0.010552028,21/03/2020,22/05/2020,28.54094143,0.067822217,10/04/2020,16/06/2020,28.46594876,0.178268265,10/04/2020,08/05/2020,36.30037155,0.023791045,21/03/2020,14/06/2020,29.11345982,0.073282853,21/03/2020,24/05/2020,61.29602109,0.147782684
time_series_depression_forecast_14_7_mae_sgd_errors.csv,8.5664237,6.341527001,7.281480463,7.626509267,5.569648776,5.744670605,7.159635893,7.301114703,5.907844094,9.798448957,7.599754122,7.758086683,11.14102257,5.955934316,4.123404714,6.24250289,5.808803766,6.408244903,4.947640831,7.760947091,20/03/2020,05/06/2020,40.62574181,0.133323069,22/03/2020,06/04/2020,35.63110037,0.111428668,23/03/2020,14/04/2020,67.30997171,0.071167679,23/03/2020,10/05/2020,29.90359358,0.12657743,21/03/2020,12/06/2020,18.5214843,0.063595272,21/03/2020,24/05/2020,31.77551729,0.081761295,10/04/2020,10/05/2020,27.81319451,0.00094398,10/04/2020,29/03/2020,30.0358109,0.07044196,21/03/2020,06/04/2020,24.5880448,0.031756749,15/03/2020,20/06/2020,38.36189066,0.104010118
time_series_depression_forecast_14_7_mse_rmsprop_errors.csv,9.162808832,6.2566979,6.996653927,5.91005356,5.642401786,5.750937847,6.262042159,8.79454079,4.742281481,8.859789773,9.392270012,7.115590872,9.185553456,5.439982355,5.466588052,6.916518664,5.429653922,7.843050829,5.55940813,8.577384463,20/03/2020,22/06/2020,50.5569651,0.255997301,28/03/2020,10/05/2020,34.96844146,0.000750137,23/03/2020,29/03/2020,50.44253002,0.004122723,21/03/2020,13/06/2020,30.23694747,0.007793882,28/03/2020,15/05/2020,28.40016758,0.009519098,28/03/2020,18/06/2020,33.52463843,0.007082934,10/04/2020,22/04/2020,26.79292592,0.002904983,10/04/2020,22/04/2020,34.53620888,0.125469185,21/03/2020,15/06/2020,28.09923326,0.00453646,21/03/2020,14/05/2020,49.41118676,0.029549645
time_series_depression_forecast_14_7_mse_sgd_errors.csv,7.926496305,6.074380849,7.397833075,6.085536559,5.620919706,5.839746289,6.127634531,6.736609193,5.799650166,10.52376203,7.775268185,7.112771392,9.066119263,4.762642086,4.748358866,6.186105847,4.874585388,6.360782909,4.796218475,10.63369603,20/03/2020,21/06/2020,42.58008109,0.14367975,21/03/2020,14/06/2020,34.36842979,0.056980737,23/03/2020,03/06/2020,49.09724053,0.062807989,21/03/2020,11/06/2020,27.61460678,0.017413045,21/03/2020,19/04/2020,25.29539489,0.172507431,21/03/2020,23/05/2020,35.37410796,0.13876299,10/04/2020,19/03/2020,24.17064653,0.094465767,10/04/2020,08/05/2020,30.32902655,0.015191723,21/03/2020,11/05/2020,24.48942177,0.117249268,24/03/2020,21/06/2020,59.96334503,0.130209682
time_series_depression_forecast_14_7_prophet_errors.csv,17.85406466,15.5067827,31.59281214,19.0286141,21.79891559,16.60106247,11.6568149,17.88531109,11.6907507,18.99844064,18.0541122,18.75310876,94.07006679,26.56533955,30.91103887,24.49794983,11.76954113,20.58887721,12.63153238,18.83559295,05/04/2020,09/05/2020,115.911946,0.000673,20/03/2020,19/04/2020,105.982038,0.019773,15/03/2020,07/06/2020,861.198051,0.07144,16/03/2020,01/04/2020,178.092057,0.076808,21/03/2020,10/05/2020,207.697566,0.331245,15/03/2020,28/04/2020,136.541394,0.013591,16/03/2020,20/04/2020,82.117324,0.165071,18/03/2020,07/04/2020,131.88473,0.32515,21/03/2020,09/05/2020,67.627759,0.045304,28/03/2020,30/05/2020,91.548428,0.275949
time_series_depression_forecast_14_7_var_p12_errors.csv,9.551105629,11.93579603,10.37354951,11.04849259,8.962642143,9.73413681,9.071658867,10.31983379,9.470903619,10.5505562,9.801015068,11.6003771,9.390510784,12.55154466,8.539915237,9.619156992,11.79031574,12.87876209,11.07518387,9.707243115,30/05/2020,19/04/2020,40.996665,0.027213,30/05/2020,22/04/2020,60.410784,0.083011,30/05/2020,25/06/2020,51.515185,0.09851,30/05/2020,14/06/2020,87.214918,0.033445,30/03/2020,16/03/2020,37.506822,0.069886,04/04/2020,23/04/2020,47.053002,0.149144,30/05/2020,22/04/2020,81.688241,0.054337,30/05/2020,22/04/2020,90.288201,0.017485,30/05/2020,22/04/2020,75.247165,0.000893,04/04/2020,07/06/2020,46.983307,0.012509
time_series_depression_forecast_21_7_arima_p19_errors.csv,12.96807263,10.99957041,19.24913814,11.97222733,15.15652732,9.263837929,11.63796763,13.86901176,9.150743949,16.68722433,16.6708112,12.79908729,46.52367391,12.15444189,19.68421727,11.55243239,8.657206393,11.30701897,8.556917399,17.93528659,05/04/2020,14/06/2020,103.918613,0.032921,09/04/2020,17/04/2020,83.930886,0.156414,24/03/2020,08/05/2020,419.442156,0.022974,22/03/2020,13/06/2020,73.089057,0.038809,27/03/2020,26/03/2020,116.529792,0.043316,06/04/2020,11/06/2020,90.036134,0.115507,23/03/2020,18/06/2020,36.396642,0.612851,13/04/2020,22/05/2020,49.228899,0.307782,22/03/2020,15/06/2020,43.083699,0.000167,06/04/2020,24/04/2020,96.159347,0.111039
time_series_depression_forecast_21_7_mae_rmsprop_errors.csv,6.79834615,5.131418943,7.601039377,5.903904927,5.117466953,4.828080157,5.734371288,7.06640257,4.013992056,8.871541098,6.477671803,5.695532773,8.302832494,3.956745257,4.453442515,4.415002539,5.745223229,8.053505318,3.775008618,8.0075021,02/04/2020,15/06/2020,26.57556959,0.090048481,28/03/2020,20/05/2020,31.36116707,0.032133867,23/03/2020,20/04/2020,40.0648559,0.186383006,10/04/2020,10/05/2020,17.83316697,0.231411249,11/04/2020,18/04/2020,24.76786107,0.090277052,31/03/2020,24/05/2020,18.35583728,0.14624411,10/04/2020,03/05/2020,24.76714772,0.045301318,10/04/2020,13/06/2020,38.49347123,0.048897601,11/04/2020,10/05/2020,20.28929383,0.075314034,24/03/2020,04/06/2020,44.87065573,0.172163444
time_series_depression_forecast_21_7_mae_sgd_errors.csv,7.329109165,4.998017801,7.578383536,6.650025991,7.562805943,4.898619107,6.652862036,7.517626455,6.252332287,10.18372774,6.719700317,5.51630987,9.577598023,5.088401054,6.711633342,4.900461148,5.47580982,7.02592671,5.803087265,7.288784621,22/03/2020,29/04/2020,30.17546475,0.010249991,25/03/2020,15/04/2020,26.16096502,0.097055199,23/03/2020,25/06/2020,52.89869549,0.048583386,23/03/2020,05/05/2020,28.06679552,0.041672187,23/03/2020,07/06/2020,31.13608612,0.22335186,23/03/2020,11/06/2020,29.88414221,0.017430135,10/04/2020,20/05/2020,27.66618092,0.055469546,10/04/2020,05/05/2020,33.45556262,0.203162961,23/03/2020,08/06/2020,28.161155,0.022669434,24/03/2020,18/05/2020,43.31236317,0.034762253
time_series_depression_forecast_21_7_mse_rmsprop_errors.csv,8.894406857,5.309457314,7.065722578,5.296144578,4.918229614,4.314794362,5.719328152,8.283845241,3.611778083,11.07684276,8.046513549,5.128509,8.382137151,4.221384416,4.549404926,4.638456616,5.043211207,9.318773613,4.094883241,9.91992948,18/04/2020,03/05/2020,34.2618101,0.506898006,28/03/2020,10/05/2020,27.19326989,0.091391852,23/03/2020,29/03/2020,44.19231223,0.004265306,10/04/2020,11/06/2020,21.99690261,0.092197969,11/04/2020,24/05/2020,26.96534269,0.026908003,11/04/2020,08/06/2020,19.12662654,0.05734858,10/04/2020,08/05/2020,25.31732246,0.029126818,11/04/2020,19/04/2020,39.63802363,0.005832704,11/04/2020,29/03/2020,23.05192227,0.061314468,26/03/2020,18/05/2020,57.17707798,0.333028973
time_series_depression_forecast_21_7_mse_sgd_errors.csv,7.914908265,5.988607818,7.654580421,6.333195727,7.577315716,5.112793315,6.33754956,6.836068248,6.603010786,10.33853891,7.262979769,7.451322246,10.54822005,4.926991996,5.96953222,4.984870163,5.456206908,6.376879793,6.910435939,8.931136622,22/03/2020,29/05/2020,37.10991618,0.010736158,22/03/2020,04/05/2020,42.57080155,0.011907843,23/03/2020,22/06/2020,57.93988952,0.034872178,23/03/2020,06/05/2020,23.60131887,0.001618713,23/03/2020,14/06/2020,29.55092029,0.050723901,23/03/2020,04/05/2020,29.85544713,0.118374948,10/04/2020,21/05/2020,26.5476217,0.039336367,11/04/2020,16/05/2020,31.86672056,0.140951665,23/03/2020,08/06/2020,36.51978877,0.046009402,24/03/2020,25/06/2020,54.30254417,0.259199375
time_series_depression_forecast_21_7_prophet_errors.csv,15.0078674,14.07104437,23.61541826,13.61308465,19.27486985,11.5257239,13.66098783,13.82811363,9.693286133,19.51602658,16.16435423,19.61218921,45.8307032,14.85613805,32.62581356,17.65604492,9.524244665,12.27452747,11.33104039,21.51375876,05/04/2020,31/05/2020,83.771935,0.069875,22/03/2020,28/03/2020,135.711218,0.038451,24/03/2020,08/06/2020,377.500405,0.068095,04/04/2020,21/04/2020,68.355356,0.056978,27/03/2020,14/06/2020,212.451723,0.253243,06/04/2020,19/06/2020,97.147824,0.005107,27/03/2020,17/06/2020,35.508307,0.000508,26/03/2020,13/06/2020,73.415215,0.08025,23/03/2020,26/04/2020,54.826913,0.043488,28/03/2020,13/05/2020,98.178643,0.000827
time_series_depression_forecast_21_7_var_p19_errors.csv,8.741079918,10.58328291,9.861108653,9.949339204,8.178331776,8.538803724,8.768591429,9.715138745,9.088857673,9.409958143,9.186196882,10.82810206,8.828183538,11.14405607,8.221189132,8.929588969,10.65392692,11.56038243,10.21457603,9.281012034,04/04/2020,19/04/2020,40.058982,0.017252,30/05/2020,21/04/2020,56.611168,0.044271,30/05/2020,21/06/2020,48.262898,0.124349,30/05/2020,21/06/2020,79.65546,0.068529,30/03/2020,15/06/2020,37.223223,0.027596,04/04/2020,15/06/2020,37.18023,0.020144,30/05/2020,19/04/2020,75.718234,0.012533,30/05/2020,21/06/2020,83.093223,0.01641,30/05/2020,21/06/2020,70.534289,0.073514,30/03/2020,03/06/2020,41.620539,0.140374
time_series_depression_forecast_7_7_arima_p5_errors.csv,29.36551934,23.74576431,39.94777944,18.69812068,21.49315946,13.85722953,14.14436229,28.92360598,15.00472733,36.41940426,51.28882114,35.10493325,107.3348823,18.87477441,20.06928085,16.0931971,16.33003193,58.13802713,18.60564606,64.75416083,14/03/2020,27/04/2020,399.390031,0.009379,14/03/2020,19/05/2020,186.688691,0.00938,15/03/2020,25/06/2020,1004.287745,0.042073,22/03/2020,07/06/2020,94.735977,0.054754,28/03/2020,06/06/2020,85.94855,0.152482,06/04/2020,03/05/2020,95.969152,0.028147,14/03/2020,25/06/2020,123.453816,0.201704,08/03/2020,08/06/2020,552.734362,0.139338,14/03/2020,09/05/2020,111.647889,0.154135,21/03/2020,02/05/2020,362.97298,0.095829
time_series_depression_forecast_7_7_mae_rmsprop_errors.csv,8.163390429,5.929329507,7.564927885,6.397371218,7.928305539,5.667273187,5.068649772,8.008498991,4.761266448,8.660930378,9.317702053,7.802395877,7.791088823,5.79092694,9.067778016,7.483600823,5.361784409,8.602530035,5.144420593,12.60670212,20/03/2020,11/05/2020,50.82418959,0.017219052,28/03/2020,06/04/2020,46.71284442,0.038705227,23/03/2020,10/05/2020,42.69892417,0.006288058,21/03/2020,30/03/2020,28.42044496,0.007770739,11/03/2020,26/04/2020,41.90486838,0.040979848,28/03/2020,16/06/2020,40.56212459,0.033053544,10/04/2020,20/05/2020,25.67990623,0.057718307,11/03/2020,21/06/2020,37.43209256,0.045640193,21/03/2020,15/05/2020,28.43042363,0.042203734,14/03/2020,15/04/2020,96.62795596,0.052730574
time_series_depression_forecast_7_7_mae_sgd_errors.csv,8.499891141,7.753931536,7.920202144,7.548589447,8.149280638,6.917872209,5.902261267,7.721062336,6.240573734,12.10598281,7.776286941,8.21778395,8.228924419,6.183120129,8.300113247,8.105399095,5.528353418,7.590281481,4.964098757,13.97418217,20/03/2020,10/06/2020,39.65910539,0.305027307,22/03/2020,27/03/2020,39.17602738,0.025511458,23/03/2020,28/04/2020,46.51879465,0.015502812,10/03/2020,10/05/2020,27.20368649,0.057327402,11/03/2020,31/03/2020,39.08463915,0.010846385,15/03/2020,17/04/2020,36.54465861,0.053302648,10/04/2020,20/05/2020,26.91627538,0.049524077,11/03/2020,21/04/2020,31.95021834,0.003394777,21/03/2020,04/06/2020,22.56419056,0.135758977,14/03/2020,14/05/2020,93.1336493,0.334767855
time_series_depression_forecast_7_7_mse_rmsprop_errors.csv,8.174404285,6.287732472,6.538396042,7.192103103,7.363259693,6.022856574,4.85311706,8.161671526,4.872494471,11.54596935,10.36510435,7.831737516,7.941600013,7.735820452,8.505933804,8.372778974,4.240714225,9.620260752,6.193004733,17.01851453,20/03/2020,11/05/2020,63.1424514,0.002074995,28/03/2020,21/04/2020,46.51708706,0.065086624,23/03/2020,26/06/2020,48.41968157,0.001288174,21/03/2020,21/04/2020,50.91323084,0.01743012,11/03/2020,09/05/2020,36.00057776,0.030228548,21/03/2020,18/06/2020,48.51580875,0.016186031,10/04/2020,10/05/2020,21.56215049,0.02418087,26/03/2020,20/04/2020,37.27289645,0.013422672,28/03/2020,28/04/2020,34.20451932,0.033013283,14/03/2020,16/05/2020,113.3192581,0.076964964
