alt,,hate,anger,sadness,fear,disgust
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_14_7_mae_rmsprop_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_14_7_mse_rmsprop_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_14_7_prophet_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_14_7_var_p12_errors.csv,-,small,medium,-,medium
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_21_7_arima_p19_errors.csv,-,-,-,-,small
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_21_7_mae_sgd_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_21_7_mse_rmsprop_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_21_7_mse_sgd_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_21_7_prophet_errors.csv,-,small,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_21_7_var_p19_errors.csv,-,small,small,-,medium
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_7_7_arima_p5_errors.csv,small,small,small,small,small
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_7_7_mae_rmsprop_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_7_7_mae_sgd_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_7_7_mse_rmsprop_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_7_7_mse_sgd_errors.csv,-,-,-,-,-
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_7_7_prophet_errors.csv,-,medium,small,small,small
time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,time_series_emotions_neg_forecast_7_7_var_p5_errors.csv,-,-,-,-,small
time_series_emotions_neg_forecast_14_7_mae_rmsprop_errors.csv,time_series_emotions_neg_forecast_14_7_arima_p12_errors.csv,small,small,small,small,small
