,80_2,80_3,80_4,80_week
time_series_stress_forecast_14_7_arima_p12.csv,0.444444444,0.555555556,0.642857143,0.555555
time_series_stress_forecast_14_7_mae_rmsprop.csv,0.411764706,0.588235294,0.647058824,0.615384615
time_series_stress_forecast_14_7_mae_sgd.csv,0.470588235,0.529411765,0.588235294,0.615384615
time_series_stress_forecast_14_7_mse_rmsprop.csv,0.352941176,0.529411765,0.647058824,0.615384615
time_series_stress_forecast_14_7_mse_sgd.csv,0.352941176,0.529411765,0.647058824,0.615384615
time_series_stress_forecast_14_7_prophet.csv,0.529411765,0.588235294,0.588235294,0.642857143
time_series_stress_forecast_14_7_var_p12.csv,0.294117647,0.470588235,0.764705882,0.538461538
time_series_stress_forecast_21_7_arima_p19.csv,0.5,0.5625,0.625,0.6
time_series_stress_forecast_21_7_mae_rmsprop.csv,0.625,0.625,0.75,0.666666667
time_series_stress_forecast_21_7_mae_sgd.csv,0.75,0.875,0.9375,0.833333333
time_series_stress_forecast_21_7_mse_rmsprop.csv,0.3125,0.375,0.4375,0.5
time_series_stress_forecast_21_7_mse_sgd.csv,0.5,0.625,0.6875,0.583333333
time_series_stress_forecast_21_7_prophet.csv,0.5625,0.5625,0.75,0.75
time_series_stress_forecast_21_7_var_p19.csv,0.4375,0.5,0.5625,0.5
time_series_stress_forecast_7_7_arima_p5.csv,0.363636364,0.545454545,0.909090909,0.555555556
time_series_stress_forecast_7_7_mae_rmsprop.csv,0.611111111,0.777777778,0.888888889,0.857142857
time_series_stress_forecast_7_7_mae_sgd.csv,0.333333333,0.555555556,0.722222222,0.5
time_series_stress_forecast_7_7_mse_rmsprop.csv,0.611111111,0.777777778,0.888888889,0.785714286
time_series_stress_forecast_7_7_mse_sgd.csv,0.555555556,0.666666667,0.722222222,0.571428571
time_series_stress_forecast_7_7_prophet.csv,0.444444444,0.555555556,0.777777778,0.615384615
time_series_stress_forecast_7_7_var_p5.csv,0.611111111,0.666666667,0.777777778,0.785714286
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
